"name","hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0.0670546442270279
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0.0459309257566929
95,0
96,0
97,0.424327686429024
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0.416509300470352
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0.417989879846573
120,0
121,0.469952613115311
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0.91074725985527
143,0.475446239113808
144,0.617647051811218
145,1.20801335573196
146,0.705130040645599
147,0.667551517486572
148,0.420150846242905
149,0.218859359622002
150,0.416533976793289
151,1.20060497522354
152,3.52866399288177
153,1.95166283845901
154,0
155,0
156,0
157,0
158,0
159,0.0150746363215148
160,0
161,0
162,0.0862794704735279
163,0.021600341424346
164,0
165,0.470141559839249
166,0
167,0
168,0
169,0.0349741335958242
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0.505668342113495
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0.348140209913254
223,0
224,0
225,0
226,0
227,0.421072483062744
228,0.421681851148605
229,0.408427685499191
230,0.539663732051849
231,0.401921898126602
232,0.186415061354637
233,0.204220406711102
234,0.173593014478683
235,0.175203233957291
236,0.275761529803276
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0.220935992896557
246,0.207286484539509
247,0
248,0
249,0
250,0
251,0
252,0.332780048251152
253,0
254,0.374406665563583
255,0.193945795297623
256,0.241262674331665
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0.253109455108643
268,0
269,0
270,0
271,0
272,0
273,0
274,0.266920685768127
275,0
276,0.278446316719055
277,0
278,0
279,0.17377395927906
280,0
281,0
282,0.414528727531433
283,0.220822386443615
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0.169135555624962
300,0.247322633862495
301,0.317300647497177
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0.199431449174881
317,0
318,0
319,0
320,0
321,0.413069188594818
322,0
323,0
324,0
325,0.388552993535995
326,0
327,0
328,0
329,0.398828253149986
330,0.794106304645538
331,0.500912979245186
332,0.484683394432068
333,0.422656252980232
334,0.656843394041061
335,0.17667980492115
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0.341420382261276
352,0
353,0
354,0
355,0
356,0
357,0
358,0.213606312870979
359,0.139347732067108
360,0
361,0
362,0
363,0.244287244975567
364,0.329991638660431
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0.384341210126877
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0.38844895362854
385,0
386,0
387,0
388,0
389,0
390,0.294228926301003
391,0
392,0
393,0
394,0
395,0.213014721870422
396,0
397,0
398,0
399,0
400,0.256800308823586
401,0
402,0
403,0
404,0
405,0.301184296607971
406,0
407,0
408,0.248331740498543
409,0.26763391494751
410,0
411,0
412,0
413,0
414,0.168427392840385
415,0
416,0
417,0
418,0.747870922088623
419,1.05792397260666
420,0.442025497555733
421,0.413248002529144
422,0.335399508476257
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0.249205008149147
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0.632344365119934
449,0
450,0
451,0
452,0
453,0
454,0
455,0.0230150148272514
456,0
457,0.428810089826584
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0.481333911418915
471,0
472,0
473,0
474,0.409833282232285
475,0.379866093397141
476,0.31965109705925
477,0
478,0
479,0
480,0
481,0
482,0.461160346865654
483,0
484,0
485,0
486,0
487,0
488,0.286063373088837
489,0.393763810396194
490,0
491,0.663304358720779
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
